stx_ident,count
stx/stx/2017-07-08 15_00_00.npz,7
stx/stx/2017-03-29 16_00_00.npz,10
stx/stx/2017-04-10 20_00_00.npz,4
stx/stx/2017-06-22 01_00_00.npz,20
stx/stx/2017-05-03 21_00_00.npz,7
stx/stx/2017-07-06 19_30_00.npz,2
stx/stx/2017-02-21 00_30_00.npz,5
stx/stx/2017-06-03 21_00_00.npz,2
stx/stx/2017-07-13 20_00_00.npz,7
stx/stx/2017-06-01 15_30_00.npz,5
stx/stx/2017-08-11 03_30_00.npz,1
stx/stx/2017-06-05 13_30_00.npz,2
stx/stx/2017-05-31 11_00_00.npz,3
stx/stx/2017-12-23 00_00_00.npz,16
stx/stx/2017-03-10 21_00_00.npz,11
stx/stx/2017-06-09 20_30_00.npz,1
stx/stx/2017-12-22 21_30_00.npz,13
stx/stx/2017-05-21 12_00_00.npz,7
stx/stx/2017-08-11 03_00_00.npz,1
stx/stx/2017-03-24 21_00_00.npz,5
stx/stx/2017-06-26 04_00_00.npz,5
stx/stx/2017-05-31 19_30_00.npz,19
stx/stx/2017-07-05 21_30_00.npz,10
stx/stx/2017-03-11 12_30_00.npz,5
stx/stx/2017-08-02 21_00_00.npz,3
stx/stx/2017-11-01 09_30_00.npz,1
stx/stx/2017-09-29 13_30_00.npz,15
stx/stx/2017-06-03 02_30_00.npz,1
stx/stx/2017-08-18 15_30_00.npz,4
stx/stx/2017-07-05 16_00_00.npz,6
stx/stx/2017-05-03 13_00_00.npz,7
stx/stx/2017-02-14 02_00_00.npz,6
stx/stx/2017-10-15 12_00_00.npz,7
stx/stx/2017-09-19 21_00_00.npz,4
stx/stx/2017-08-30 16_00_00.npz,5
stx/stx/2017-04-02 19_30_00.npz,6
stx/stx/2017-05-12 04_30_00.npz,4
stx/stx/2017-06-21 23_30_00.npz,13
stx/stx/2017-08-05 21_30_00.npz,6
stx/stx/2017-12-17 08_00_00.npz,1
stx/stx/2017-09-20 22_00_00.npz,5
stx/stx/2017-08-18 21_00_00.npz,10
stx/stx/2017-08-01 14_00_00.npz,9
stx/stx/2017-08-16 05_00_00.npz,1
stx/stx/2017-08-02 11_00_00.npz,3
stx/stx/2017-04-17 19_30_00.npz,6
stx/stx/2017-05-23 10_30_00.npz,3
stx/stx/2017-07-24 17_00_00.npz,2
stx/stx/2017-05-20 17_00_00.npz,6
stx/stx/2017-05-11 21_30_00.npz,7
stx/stx/2017-04-30 11_00_00.npz,2
stx/stx/2017-08-05 00_00_00.npz,5
stx/stx/2017-07-30 22_30_00.npz,5
stx/stx/2017-01-15 20_00_00.npz,3
stx/stx/2017-09-18 21_00_00.npz,2
stx/stx/2017-09-24 23_00_00.npz,5
stx/stx/2017-08-06 04_00_00.npz,1
stx/stx/2017-08-07 03_00_00.npz,8
stx/stx/2017-05-22 04_00_00.npz,2
stx/stx/2017-10-10 05_00_00.npz,2
stx/stx/2017-08-13 23_00_00.npz,2
stx/stx/2017-07-03 00_30_00.npz,1
stx/stx/2017-02-14 05_00_00.npz,5
stx/stx/2017-02-27 00_30_00.npz,5
stx/stx/2017-06-03 15_00_00.npz,2
stx/stx/2017-07-16 19_30_00.npz,8
stx/stx/2017-08-10 22_30_00.npz,4
stx/stx/2017-07-16 13_30_00.npz,11
stx/stx/2017-06-09 18_30_00.npz,8
stx/stx/2017-12-03 22_00_00.npz,4
stx/stx/2017-07-15 10_00_00.npz,2
stx/stx/2017-09-24 23_30_00.npz,4
stx/stx/2017-08-09 17_00_00.npz,2
stx/stx/2017-06-22 15_30_00.npz,9
stx/stx/2017-12-05 15_00_00.npz,20
stx/stx/2017-01-06 15_30_00.npz,8
stx/stx/2017-07-28 13_30_00.npz,10
stx/stx/2017-07-03 16_00_00.npz,8
stx/stx/2017-03-24 18_00_00.npz,7
stx/stx/2017-01-16 22_30_00.npz,5
stx/stx/2017-07-14 20_30_00.npz,13
stx/stx/2017-06-01 03_30_00.npz,2
stx/stx/2017-07-07 20_30_00.npz,1
stx/stx/2017-01-15 00_30_00.npz,7
stx/stx/2017-03-29 23_00_00.npz,12
stx/stx/2017-08-13 13_00_00.npz,1
stx/stx/2017-07-14 02_00_00.npz,3
stx/stx/2017-06-22 06_00_00.npz,4
stx/stx/2017-07-02 14_00_00.npz,2
stx/stx/2017-12-19 12_00_00.npz,1
stx/stx/2017-08-20 20_30_00.npz,8
stx/stx/2017-07-05 12_30_00.npz,4
stx/stx/2017-05-23 12_30_00.npz,6
stx/stx/2017-12-05 18_00_00.npz,6
stx/stx/2017-06-22 13_00_00.npz,10
stx/stx/2017-08-05 02_30_00.npz,2
stx/stx/2017-05-21 15_30_00.npz,3
stx/stx/2017-06-25 09_30_00.npz,6
stx/stx/2017-05-30 18_30_00.npz,3
stx/stx/2017-07-23 21_00_00.npz,3
stx/stx/2017-07-24 06_30_00.npz,5
stx/stx/2017-05-09 19_30_00.npz,7
stx/stx/2017-01-06 17_30_00.npz,9
stx/stx/2017-12-19 20_30_00.npz,4
stx/stx/2017-08-17 09_00_00.npz,2
stx/stx/2017-05-10 16_00_00.npz,8
stx/stx/2017-09-27 20_00_00.npz,4
stx/stx/2017-12-23 00_30_00.npz,20
stx/stx/2017-11-01 00_00_00.npz,3
stx/stx/2017-06-06 23_00_00.npz,7
