begin,end,index
2017-03-28 16:00:00,2017-03-28 16:30:00,71
2017-03-28 18:00:00,2017-03-28 18:30:00,72
2017-03-28 21:00:00,2017-03-28 23:30:00,73
2017-03-29 01:00:00,2017-03-30 00:30:00,74
2017-03-30 02:00:00,2017-03-30 03:30:00,75
2017-04-01 20:00:00,2017-04-03 03:30:00,76
2017-04-03 09:00:00,2017-04-03 09:30:00,77
2017-04-05 00:00:00,2017-04-05 04:30:00,78
2017-04-10 18:00:00,2017-04-11 23:30:00,79
2017-04-12 18:00:00,2017-04-12 18:30:00,80
2017-04-13 08:00:00,2017-04-13 08:30:00,81
2017-04-13 11:00:00,2017-04-14 09:30:00,82
2017-04-14 12:00:00,2017-04-14 12:30:00,83
2017-04-15 04:00:00,2017-04-15 08:30:00,84
2017-04-15 19:00:00,2017-04-15 19:30:00,85
2017-04-16 13:00:00,2017-04-17 00:30:00,86
2017-04-17 05:00:00,2017-04-17 07:30:00,87
2017-04-17 09:00:00,2017-04-19 00:30:00,88
2017-04-19 15:00:00,2017-04-19 15:30:00,89
2017-04-19 21:00:00,2017-04-19 22:30:00,90
2017-04-21 01:00:00,2017-04-21 01:30:00,91
2017-04-21 03:00:00,2017-04-21 08:30:00,92
2017-04-21 10:00:00,2017-04-22 11:30:00,93
2017-04-26 02:00:00,2017-04-26 23:30:00,94
2017-04-29 04:00:00,2017-04-29 04:30:00,95
2017-04-29 07:00:00,2017-04-29 11:30:00,96
2017-04-29 14:00:00,2017-04-30 12:30:00,97
2017-05-02 12:00:00,2017-05-02 12:30:00,98
2017-05-03 10:00:00,2017-05-04 07:30:00,99
2017-05-09 15:00:00,2017-05-10 00:30:00,100
2017-05-10 16:00:00,2017-05-11 12:30:00,101
2017-05-11 14:00:00,2017-05-11 14:30:00,102
2017-05-11 17:00:00,2017-05-12 05:30:00,103
2017-05-12 07:00:00,2017-05-12 07:30:00,104
2017-05-15 06:00:00,2017-05-15 06:30:00,105
2017-05-16 23:00:00,2017-05-17 12:30:00,106
2017-05-18 19:00:00,2017-05-18 22:30:00,107
2017-05-19 00:00:00,2017-05-19 08:30:00,108
2017-05-19 10:00:00,2017-05-20 14:30:00,109
2017-05-20 16:00:00,2017-05-21 07:30:00,110
2017-05-21 09:00:00,2017-05-21 18:30:00,111
2017-05-21 20:00:00,2017-05-22 11:30:00,112
2017-05-22 13:00:00,2017-05-23 17:30:00,113
2017-05-23 19:00:00,2017-05-24 04:30:00,114
2017-05-28 00:00:00,2017-05-28 16:30:00,115
2017-05-28 20:00:00,2017-05-29 10:30:00,116
2017-05-29 14:00:00,2017-05-29 16:30:00,117
2017-05-30 02:00:00,2017-05-30 02:30:00,118
2017-05-30 07:00:00,2017-05-30 08:30:00,119
2017-05-30 14:00:00,2017-05-30 14:30:00,120
2017-05-30 18:00:00,2017-05-30 23:30:00,121
2017-05-31 02:00:00,2017-05-31 04:30:00,122
2017-05-31 11:00:00,2017-06-05 09:30:00,123
2017-06-05 11:00:00,2017-06-06 00:30:00,124
2017-06-06 02:00:00,2017-06-06 05:30:00,125
2017-06-06 08:00:00,2017-06-06 08:30:00,126
2017-06-06 11:00:00,2017-06-06 12:30:00,127
2017-06-06 20:00:00,2017-06-06 23:30:00,128
2017-06-07 03:00:00,2017-06-07 11:30:00,129
2017-06-07 14:00:00,2017-06-07 14:30:00,130
2017-06-07 16:00:00,2017-06-07 17:30:00,131
2017-06-08 16:00:00,2017-06-08 17:30:00,132
2017-06-09 05:00:00,2017-06-09 16:30:00,133
2017-06-09 18:00:00,2017-06-10 03:30:00,134
2017-06-11 18:00:00,2017-06-11 19:30:00,135
2017-06-11 21:00:00,2017-06-11 22:30:00,136
2017-06-12 17:00:00,2017-06-13 00:30:00,137
2017-06-13 02:00:00,2017-06-13 02:30:00,138
2017-06-13 04:00:00,2017-06-13 04:30:00,139
2017-06-13 22:00:00,2017-06-13 22:30:00,140
2017-06-14 01:00:00,2017-06-14 02:30:00,141
2017-06-14 04:00:00,2017-06-14 05:30:00,142
2017-06-15 02:00:00,2017-06-15 02:30:00,143
2017-06-15 14:00:00,2017-06-15 19:30:00,144
2017-06-15 23:00:00,2017-06-16 05:30:00,145
2017-06-16 07:00:00,2017-06-16 08:30:00,146
2017-06-17 14:00:00,2017-06-17 18:30:00,147
2017-06-18 13:00:00,2017-06-18 15:30:00,148
2017-06-18 17:00:00,2017-06-18 19:30:00,149
2017-06-18 21:00:00,2017-06-19 20:30:00,150
2017-06-19 22:00:00,2017-06-19 22:30:00,151
2017-06-20 07:00:00,2017-06-20 08:30:00,152
2017-06-21 06:00:00,2017-06-21 07:30:00,153
2017-06-21 22:00:00,2017-06-22 04:30:00,154
2017-06-22 06:00:00,2017-06-23 05:30:00,155
2017-06-23 09:00:00,2017-06-23 09:30:00,156
2017-06-23 20:00:00,2017-06-24 00:30:00,157
2017-06-24 02:00:00,2017-06-24 14:30:00,158
2017-06-24 16:00:00,2017-06-24 21:30:00,159
2017-06-25 03:00:00,2017-06-25 21:30:00,160
2017-06-26 00:00:00,2017-06-26 06:30:00,161
2017-06-26 08:00:00,2017-06-26 11:30:00,162
2017-06-26 19:00:00,2017-06-27 05:30:00,163
2017-06-29 08:00:00,2017-06-29 14:30:00,164
2017-06-29 16:00:00,2017-06-29 19:30:00,165
2017-06-30 13:00:00,2017-06-30 19:30:00,166
2017-06-30 21:00:00,2017-07-01 23:30:00,167
2017-07-02 03:00:00,2017-07-02 04:30:00,168
2017-07-02 07:00:00,2017-07-02 08:30:00,169
2017-07-02 11:00:00,2017-07-02 14:30:00,170
2017-07-02 20:00:00,2017-07-03 18:30:00,171
2017-07-04 02:00:00,2017-07-04 18:30:00,172
2017-07-04 22:00:00,2017-07-05 03:30:00,173
2017-07-05 05:00:00,2017-07-05 16:30:00,174
2017-07-05 19:00:00,2017-07-06 14:30:00,175
2017-07-06 19:00:00,2017-07-07 02:30:00,176
2017-07-07 17:00:00,2017-07-07 17:30:00,177
2017-07-07 19:00:00,2017-07-08 02:30:00,178
2017-07-08 08:00:00,2017-07-09 16:30:00,179
2017-07-09 18:00:00,2017-07-10 06:30:00,180
2017-07-10 10:00:00,2017-07-10 11:30:00,181
2017-07-10 13:00:00,2017-07-10 21:30:00,182
2017-07-11 17:00:00,2017-07-12 02:30:00,183
2017-07-12 16:00:00,2017-07-12 16:30:00,184
2017-07-12 18:00:00,2017-07-13 02:30:00,185
2017-07-13 19:00:00,2017-07-13 21:30:00,186
2017-07-13 23:00:00,2017-07-14 04:30:00,187
2017-07-14 12:00:00,2017-07-14 12:30:00,188
2017-07-14 15:00:00,2017-07-14 18:30:00,189
2017-07-14 20:00:00,2017-07-15 23:30:00,190
2017-07-16 01:00:00,2017-07-17 01:30:00,191
2017-07-17 17:00:00,2017-07-18 03:30:00,192
2017-07-18 11:00:00,2017-07-18 12:30:00,193
2017-07-18 15:00:00,2017-07-18 19:30:00,194
2017-07-19 07:00:00,2017-07-19 09:30:00,195
2017-07-19 20:00:00,2017-07-19 22:30:00,196
2017-07-20 21:00:00,2017-07-20 21:30:00,197
2017-07-21 19:00:00,2017-07-21 23:30:00,198
2017-07-22 01:00:00,2017-07-22 02:30:00,199
2017-07-22 14:00:00,2017-07-22 16:30:00,200
2017-07-22 18:00:00,2017-07-23 01:30:00,201
2017-07-23 13:00:00,2017-07-23 13:30:00,202
2017-07-23 15:00:00,2017-07-25 00:30:00,203
2017-07-26 03:00:00,2017-07-26 03:30:00,204
2017-07-26 19:00:00,2017-07-26 19:30:00,205
2017-07-26 21:00:00,2017-07-27 00:30:00,206
2017-07-27 07:00:00,2017-07-27 07:30:00,207
2017-07-27 22:00:00,2017-07-28 02:30:00,208
2017-07-28 10:00:00,2017-07-28 15:30:00,209
2017-07-28 17:00:00,2017-07-28 17:30:00,210
2017-07-28 21:00:00,2017-07-29 04:30:00,211
2017-07-29 06:00:00,2017-07-29 15:30:00,212
2017-07-29 17:00:00,2017-07-29 21:30:00,213
2017-07-30 01:00:00,2017-07-30 03:30:00,214
2017-07-30 07:00:00,2017-07-30 12:30:00,215
2017-07-30 14:00:00,2017-07-30 19:30:00,216
2017-07-30 21:00:00,2017-07-31 04:30:00,217
2017-07-31 13:00:00,2017-07-31 14:30:00,218
2017-07-31 17:00:00,2017-07-31 17:30:00,219
2017-07-31 19:00:00,2017-07-31 20:30:00,220
2017-08-01 10:00:00,2017-08-01 21:30:00,221
2017-08-01 23:00:00,2017-08-02 03:30:00,222
2017-08-02 06:00:00,2017-08-03 01:30:00,223
2017-08-03 10:00:00,2017-08-03 11:30:00,224
2017-08-03 20:00:00,2017-08-03 20:30:00,225
2017-08-03 22:00:00,2017-08-03 23:30:00,226
2017-08-04 03:00:00,2017-08-04 12:30:00,227
2017-08-04 19:00:00,2017-08-05 03:30:00,228
2017-08-05 18:00:00,2017-08-05 23:30:00,229
2017-08-06 01:00:00,2017-08-06 10:30:00,230
2017-08-06 12:00:00,2017-08-08 13:30:00,231
2017-08-08 16:00:00,2017-08-08 16:30:00,232
2017-08-08 18:00:00,2017-08-09 08:30:00,233
2017-08-09 16:00:00,2017-08-09 17:30:00,234
2017-08-09 19:00:00,2017-08-09 19:30:00,235
2017-08-10 06:00:00,2017-08-10 12:30:00,236
2017-08-10 17:00:00,2017-08-10 17:30:00,237
2017-08-10 19:00:00,2017-08-11 18:30:00,238
2017-08-11 22:00:00,2017-08-12 00:30:00,239
2017-08-12 02:00:00,2017-08-12 05:30:00,240
2017-08-12 09:00:00,2017-08-15 02:30:00,241
2017-08-15 06:00:00,2017-08-16 09:30:00,242
2017-08-16 11:00:00,2017-08-16 11:30:00,243
2017-08-16 14:00:00,2017-08-16 14:30:00,244
2017-08-16 17:00:00,2017-08-16 19:30:00,245
2017-08-16 23:00:00,2017-08-18 05:30:00,246
2017-08-18 14:00:00,2017-08-18 22:30:00,247
2017-08-19 20:00:00,2017-08-20 04:30:00,248
2017-08-20 09:00:00,2017-08-20 12:30:00,249
2017-08-20 17:00:00,2017-08-21 01:30:00,250
2017-08-22 02:00:00,2017-08-22 02:30:00,251
2017-08-22 08:00:00,2017-08-22 15:30:00,252
2017-08-22 17:00:00,2017-08-23 00:30:00,253
2017-08-23 02:00:00,2017-08-23 13:30:00,254
2017-08-23 15:00:00,2017-08-23 16:30:00,255
2017-08-23 18:00:00,2017-08-25 06:30:00,256
2017-08-25 09:00:00,2017-08-25 10:30:00,257
2017-08-25 12:00:00,2017-08-25 23:30:00,258
2017-08-26 01:00:00,2017-08-29 00:30:00,259
2017-08-29 02:00:00,2017-08-29 04:30:00,260
2017-08-29 06:00:00,2017-08-31 00:30:00,261
2017-08-31 02:00:00,2017-08-31 09:30:00,262
2017-09-02 08:00:00,2017-09-02 08:30:00,263
2017-09-02 10:00:00,2017-09-02 13:30:00,264
2017-09-02 20:00:00,2017-09-03 08:30:00,265
2017-09-03 12:00:00,2017-09-03 12:30:00,266
2017-09-03 14:00:00,2017-09-03 15:30:00,267
2017-09-05 16:00:00,2017-09-05 18:30:00,268
2017-09-05 22:00:00,2017-09-05 22:30:00,269
2017-09-06 00:00:00,2017-09-06 02:30:00,270
2017-09-06 04:00:00,2017-09-06 05:30:00,271
2017-09-06 07:00:00,2017-09-06 09:30:00,272
2017-09-15 17:00:00,2017-09-15 18:30:00,273
2017-09-15 20:00:00,2017-09-15 20:30:00,274
2017-09-16 11:00:00,2017-09-16 11:30:00,275
2017-09-16 16:00:00,2017-09-16 18:30:00,276
2017-09-16 20:00:00,2017-09-16 21:30:00,277
2017-09-16 23:00:00,2017-09-16 23:30:00,278
2017-09-17 01:00:00,2017-09-17 05:30:00,279
2017-09-17 12:00:00,2017-09-18 03:30:00,280
2017-09-18 05:00:00,2017-09-18 05:30:00,281
2017-09-18 07:00:00,2017-09-18 10:30:00,282
2017-09-18 12:00:00,2017-09-18 12:30:00,283
2017-09-18 14:00:00,2017-09-19 02:30:00,284
2017-09-19 04:00:00,2017-09-19 04:30:00,285
2017-09-19 21:00:00,2017-09-20 05:30:00,286
2017-09-20 18:00:00,2017-09-20 22:30:00,287
2017-09-21 00:00:00,2017-09-21 05:30:00,288
2017-09-21 14:00:00,2017-09-21 14:30:00,289
2017-09-21 16:00:00,2017-09-21 18:30:00,290
2017-09-21 20:00:00,2017-09-22 00:30:00,291
2017-09-22 23:00:00,2017-09-22 23:30:00,292
2017-09-24 16:00:00,2017-09-24 16:30:00,293
2017-09-24 18:00:00,2017-09-25 00:30:00,294
2017-09-25 02:00:00,2017-09-25 03:30:00,295
2017-09-25 06:00:00,2017-09-25 06:30:00,296
2017-09-25 08:00:00,2017-09-25 08:30:00,297
2017-09-25 10:00:00,2017-09-25 10:30:00,298
2017-09-25 15:00:00,2017-09-28 20:30:00,299
2017-09-28 22:00:00,2017-09-29 11:30:00,300
2017-09-29 13:00:00,2017-09-30 02:30:00,301
2017-10-01 03:00:00,2017-10-01 04:30:00,302
2017-10-01 06:00:00,2017-10-01 06:30:00,303
2017-10-01 08:00:00,2017-10-01 08:30:00,304
2017-10-01 10:00:00,2017-10-01 10:30:00,305
2017-10-02 22:00:00,2017-10-02 23:30:00,306
2017-10-03 12:00:00,2017-10-05 11:30:00,307
2017-10-05 20:00:00,2017-10-05 20:30:00,308
2017-10-05 22:00:00,2017-10-05 22:30:00,309
2017-10-06 02:00:00,2017-10-06 02:30:00,310
2017-10-07 05:00:00,2017-10-07 11:30:00,311
